"multilabel_id","query","filters","gold_answers","answer","context","exact_match","f1","exact_match_context_scope","f1_context_scope","exact_match_document_id_scope","f1_document_id_scope","exact_match_document_id_and_context_scope","f1_document_id_and_context_scope","gold_contexts","rank","document_ids","gold_document_ids","offsets_in_document","gold_offsets_in_documents","offsets_in_context","gold_offsets_in_contexts","gold_answers_exact_match","gold_answers_f1","gold_documents_id_match","gold_contexts_similarity","type","node","eval_mode","index"
"ddc1562602f2d6d895b91e53f83e4c16","who is written in the book of life","","['every person who is destined for Heaven or the World to Come', 'all people considered righteous before God']","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Book of Life - wikipedia Book of Life Jump to: navigation, search This article is about the book mentioned in Christian and Jewish religious teachings. For other uses, see The Book of Life. In Christianity and Judaism, the Book of Life (Hebrew: ספר החיים, transliterated Sefer HaChaim; Greek: βιβλίον τῆς ζωῆς Biblíon tēs Zōēs) is the book in which God records the names of every person who is destined for Heaven or the World to Come. According to the Talmud it is open on Rosh Hashanah, as is its analog for the wicked, the Book of the Dead. For this reason extra mention is made for the Book of Life during Amidah recitations during the Days of Awe, the ten days between Rosh Hashanah, the Jewish new year, and Yom Kippur, the day of atonement (the two High Holidays, particularly in the prayer Unetaneh Tokef). Contents (hide) 1 In the Hebrew Bible 2 Book of Jubilees 3 References in the New Testament 4 The eschatological or annual roll-call 5 Fundraising 6 See also 7 Notes 8 References In the Hebrew Bible(edit) In the Hebrew Bible the Book of Life - the book or muster-roll of God - records forever all people considered righteous before God', 'Book of Life - wikipedia Book of Life Jump to: navigation, search This article is about the book mentioned in Christian and Jewish religious teachings. For other uses, see The Book of Life. In Christianity and Judaism, the Book of Life (Hebrew: ספר החיים, transliterated Sefer HaChaim; Greek: βιβλίον τῆς ζωῆς Biblíon tēs Zōēs) is the book in which God records the names of every person who is destined for Heaven or the World to Come. According to the Talmud it is open on Rosh Hashanah, as is its analog for the wicked, the Book of the Dead. For this reason extra mention is made for the Book of Life during Amidah recitations during the Days of Awe, the ten days between Rosh Hashanah, the Jewish new year, and Yom Kippur, the day of atonement (the two High Holidays, particularly in the prayer Unetaneh Tokef). Contents (hide) 1 In the Hebrew Bible 2 Book of Jubilees 3 References in the New Testament 4 The eschatological or annual roll-call 5 Fundraising 6 See also 7 Notes 8 References In the Hebrew Bible(edit) In the Hebrew Bible the Book of Life - the book or muster-roll of God - records forever all people considered righteous before God']",1.0,"","['de2fd2f109e11213af1ea189fd1488a3-0', 'de2fd2f109e11213af1ea189fd1488a3-0']","[{'start': 0, 'end': 0}]","[{'start': 374, 'end': 434}, {'start': 1107, 'end': 1149}]","[{'start': 0, 'end': 0}]","[{'start': 374, 'end': 434}, {'start': 1107, 'end': 1149}]","[0, 0]","[0, 0]","[0.0, 0.0]","[0.0, 0.0]","answer","Reader","integrated",0
"ddc1562602f2d6d895b91e53f83e4c16","who is written in the book of life","","['every person who is destined for Heaven or the World to Come', 'all people considered righteous before God']","those whose names are written in the Book of Life from the foundation of the world","ohn of Patmos. As described, only those whose names are written in the Book of Life from the foundation of the world, and have not been blotted out by",0.0,0.08333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,"['Book of Life - wikipedia Book of Life Jump to: navigation, search This article is about the book mentioned in Christian and Jewish religious teachings. For other uses, see The Book of Life. In Christianity and Judaism, the Book of Life (Hebrew: ספר החיים, transliterated Sefer HaChaim; Greek: βιβλίον τῆς ζωῆς Biblíon tēs Zōēs) is the book in which God records the names of every person who is destined for Heaven or the World to Come. According to the Talmud it is open on Rosh Hashanah, as is its analog for the wicked, the Book of the Dead. For this reason extra mention is made for the Book of Life during Amidah recitations during the Days of Awe, the ten days between Rosh Hashanah, the Jewish new year, and Yom Kippur, the day of atonement (the two High Holidays, particularly in the prayer Unetaneh Tokef). Contents (hide) 1 In the Hebrew Bible 2 Book of Jubilees 3 References in the New Testament 4 The eschatological or annual roll-call 5 Fundraising 6 See also 7 Notes 8 References In the Hebrew Bible(edit) In the Hebrew Bible the Book of Life - the book or muster-roll of God - records forever all people considered righteous before God', 'Book of Life - wikipedia Book of Life Jump to: navigation, search This article is about the book mentioned in Christian and Jewish religious teachings. For other uses, see The Book of Life. In Christianity and Judaism, the Book of Life (Hebrew: ספר החיים, transliterated Sefer HaChaim; Greek: βιβλίον τῆς ζωῆς Biblíon tēs Zōēs) is the book in which God records the names of every person who is destined for Heaven or the World to Come. According to the Talmud it is open on Rosh Hashanah, as is its analog for the wicked, the Book of the Dead. For this reason extra mention is made for the Book of Life during Amidah recitations during the Days of Awe, the ten days between Rosh Hashanah, the Jewish new year, and Yom Kippur, the day of atonement (the two High Holidays, particularly in the prayer Unetaneh Tokef). Contents (hide) 1 In the Hebrew Bible 2 Book of Jubilees 3 References in the New Testament 4 The eschatological or annual roll-call 5 Fundraising 6 See also 7 Notes 8 References In the Hebrew Bible(edit) In the Hebrew Bible the Book of Life - the book or muster-roll of God - records forever all people considered righteous before God']",2.0,"['bcc533ac40605a5faa63f4b0d7124404-3']","['de2fd2f109e11213af1ea189fd1488a3-0', 'de2fd2f109e11213af1ea189fd1488a3-0']","[{'start': 576, 'end': 658}]","[{'start': 374, 'end': 434}, {'start': 1107, 'end': 1149}]","[{'start': 34, 'end': 116}]","[{'start': 374, 'end': 434}, {'start': 1107, 'end': 1149}]","[0, 0]","[0.08333333333333334, 0]","[0.0, 0.0]","[48.0, 48.0]","answer","Reader","integrated",1
"ddc1562602f2d6d895b91e53f83e4c16","who is written in the book of life","","['every person who is destined for Heaven or the World to Come', 'all people considered righteous before God']","only the names of the righteous",". The Psalmist likewise speaks of the Book of Life in which only the names of the righteous are written ``and from which the unrighteous are blotted o",0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,"['Book of Life - wikipedia Book of Life Jump to: navigation, search This article is about the book mentioned in Christian and Jewish religious teachings. For other uses, see The Book of Life. In Christianity and Judaism, the Book of Life (Hebrew: ספר החיים, transliterated Sefer HaChaim; Greek: βιβλίον τῆς ζωῆς Biblíon tēs Zōēs) is the book in which God records the names of every person who is destined for Heaven or the World to Come. According to the Talmud it is open on Rosh Hashanah, as is its analog for the wicked, the Book of the Dead. For this reason extra mention is made for the Book of Life during Amidah recitations during the Days of Awe, the ten days between Rosh Hashanah, the Jewish new year, and Yom Kippur, the day of atonement (the two High Holidays, particularly in the prayer Unetaneh Tokef). Contents (hide) 1 In the Hebrew Bible 2 Book of Jubilees 3 References in the New Testament 4 The eschatological or annual roll-call 5 Fundraising 6 See also 7 Notes 8 References In the Hebrew Bible(edit) In the Hebrew Bible the Book of Life - the book or muster-roll of God - records forever all people considered righteous before God', 'Book of Life - wikipedia Book of Life Jump to: navigation, search This article is about the book mentioned in Christian and Jewish religious teachings. For other uses, see The Book of Life. In Christianity and Judaism, the Book of Life (Hebrew: ספר החיים, transliterated Sefer HaChaim; Greek: βιβλίον τῆς ζωῆς Biblíon tēs Zōēs) is the book in which God records the names of every person who is destined for Heaven or the World to Come. According to the Talmud it is open on Rosh Hashanah, as is its analog for the wicked, the Book of the Dead. For this reason extra mention is made for the Book of Life during Amidah recitations during the Days of Awe, the ten days between Rosh Hashanah, the Jewish new year, and Yom Kippur, the day of atonement (the two High Holidays, particularly in the prayer Unetaneh Tokef). Contents (hide) 1 In the Hebrew Bible 2 Book of Jubilees 3 References in the New Testament 4 The eschatological or annual roll-call 5 Fundraising 6 See also 7 Notes 8 References In the Hebrew Bible(edit) In the Hebrew Bible the Book of Life - the book or muster-roll of God - records forever all people considered righteous before God']",3.0,"['737cb9cd71126bd25296bce035a5956f-1']","['de2fd2f109e11213af1ea189fd1488a3-0', 'de2fd2f109e11213af1ea189fd1488a3-0']","[{'start': 498, 'end': 529}]","[{'start': 374, 'end': 434}, {'start': 1107, 'end': 1149}]","[{'start': 60, 'end': 91}]","[{'start': 374, 'end': 434}, {'start': 1107, 'end': 1149}]","[0, 0]","[0, 0.2]","[0.0, 0.0]","[53.666666666666664, 53.666666666666664]","answer","Reader","integrated",2
"ddc1562602f2d6d895b91e53f83e4c16","who is written in the book of life","","['every person who is destined for Heaven or the World to Come', 'all people considered righteous before God']","those who are found written in the book and who shall escape the troubles preparatory to the coming of the Messianic kingdom are they who, together with the risen martyrs","those who are found written in the book and who shall escape the troubles preparatory to the coming of the Messianic kingdom are they who, together with the risen martyrs",0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,"['Book of Life - wikipedia Book of Life Jump to: navigation, search This article is about the book mentioned in Christian and Jewish religious teachings. For other uses, see The Book of Life. In Christianity and Judaism, the Book of Life (Hebrew: ספר החיים, transliterated Sefer HaChaim; Greek: βιβλίον τῆς ζωῆς Biblíon tēs Zōēs) is the book in which God records the names of every person who is destined for Heaven or the World to Come. According to the Talmud it is open on Rosh Hashanah, as is its analog for the wicked, the Book of the Dead. For this reason extra mention is made for the Book of Life during Amidah recitations during the Days of Awe, the ten days between Rosh Hashanah, the Jewish new year, and Yom Kippur, the day of atonement (the two High Holidays, particularly in the prayer Unetaneh Tokef). Contents (hide) 1 In the Hebrew Bible 2 Book of Jubilees 3 References in the New Testament 4 The eschatological or annual roll-call 5 Fundraising 6 See also 7 Notes 8 References In the Hebrew Bible(edit) In the Hebrew Bible the Book of Life - the book or muster-roll of God - records forever all people considered righteous before God', 'Book of Life - wikipedia Book of Life Jump to: navigation, search This article is about the book mentioned in Christian and Jewish religious teachings. For other uses, see The Book of Life. In Christianity and Judaism, the Book of Life (Hebrew: ספר החיים, transliterated Sefer HaChaim; Greek: βιβλίον τῆς ζωῆς Biblíon tēs Zōēs) is the book in which God records the names of every person who is destined for Heaven or the World to Come. According to the Talmud it is open on Rosh Hashanah, as is its analog for the wicked, the Book of the Dead. For this reason extra mention is made for the Book of Life during Amidah recitations during the Days of Awe, the ten days between Rosh Hashanah, the Jewish new year, and Yom Kippur, the day of atonement (the two High Holidays, particularly in the prayer Unetaneh Tokef). Contents (hide) 1 In the Hebrew Bible 2 Book of Jubilees 3 References in the New Testament 4 The eschatological or annual roll-call 5 Fundraising 6 See also 7 Notes 8 References In the Hebrew Bible(edit) In the Hebrew Bible the Book of Life - the book or muster-roll of God - records forever all people considered righteous before God']",4.0,"['5f3f7a6be74e24b1065a4d770585d210-6']","['de2fd2f109e11213af1ea189fd1488a3-0', 'de2fd2f109e11213af1ea189fd1488a3-0']","[{'start': 135, 'end': 305}]","[{'start': 374, 'end': 434}, {'start': 1107, 'end': 1149}]","[{'start': 0, 'end': 170}]","[{'start': 374, 'end': 434}, {'start': 1107, 'end': 1149}]","[0, 0]","[0.1111111111111111, 0]","[0.0, 0.0]","[47.05882352941176, 47.05882352941176]","answer","Reader","integrated",3
"4ee6cf26bb5f64d04b9b9bf6606d4ff9","who was the girl in the video brenda got a baby","","[""Ethel ``Edy'' Proctor""]","her cousin","ng a story in the newspaper of a 12-year-old girl getting pregnant by her cousin and trying to dispose of the baby in a trash can. Parts of the video ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[""video(edit) The video of the song is in black-and-white. It was made to visualize what Shakur narrates. The first part shows Shakur and ``Brenda'' and then the actual story starts. Ethel ``Edy'' Proctor portrays Brenda. The video begins with ``based on a true story,'' although the characters themselves are fictitious, Shakur wrote the song after reading a story in the newspaper of a 12-year-old girl getting pregnant by her cousin and trying to dispose of the baby in a trash can. Parts of the video were included in Tupac: Resurrection, a 2003 documentary on 2Pac's life, in a television show later in the music video of Ghetto Gospel, in the music video of Changes and appears as a bonus in its entirety on the film's DVD. Part of the video and song was played in 2Pac's biopic film, ``All Eyez On Me,'' released June 16th 2017. The video was directed by the Hughes Brothers. Charts(edit) Chart (1991) Peak position US Rap Singles (Billboard) US R&B/Hip-Hop Songs (Billboard) 23 References(edit) Jump up ^ Hedges, Chris (March 29, 1991). ``A Child-Mother in the Jaws of New York''. NYTimes.com. Retrieved July 23, 2016. ^ Jump up to: ``2Pac -- Awards''. AllMusic. Rovi Corporation.""]",1.0,"['a38e3ec379fea7e5e4ad9a620be112c5-3']","['a38e3ec379fea7e5e4ad9a620be112c5-3']","[{'start': 423, 'end': 433}]","[{'start': 181, 'end': 202}]","[{'start': 70, 'end': 80}]","[{'start': 181, 'end': 202}]","[0]","[0]","[1.0]","[100.0]","answer","Reader","integrated",0
"4ee6cf26bb5f64d04b9b9bf6606d4ff9","who was the girl in the video brenda got a baby","","[""Ethel ``Edy'' Proctor""]","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[""video(edit) The video of the song is in black-and-white. It was made to visualize what Shakur narrates. The first part shows Shakur and ``Brenda'' and then the actual story starts. Ethel ``Edy'' Proctor portrays Brenda. The video begins with ``based on a true story,'' although the characters themselves are fictitious, Shakur wrote the song after reading a story in the newspaper of a 12-year-old girl getting pregnant by her cousin and trying to dispose of the baby in a trash can. Parts of the video were included in Tupac: Resurrection, a 2003 documentary on 2Pac's life, in a television show later in the music video of Ghetto Gospel, in the music video of Changes and appears as a bonus in its entirety on the film's DVD. Part of the video and song was played in 2Pac's biopic film, ``All Eyez On Me,'' released June 16th 2017. The video was directed by the Hughes Brothers. Charts(edit) Chart (1991) Peak position US Rap Singles (Billboard) US R&B/Hip-Hop Songs (Billboard) 23 References(edit) Jump up ^ Hedges, Chris (March 29, 1991). ``A Child-Mother in the Jaws of New York''. NYTimes.com. Retrieved July 23, 2016. ^ Jump up to: ``2Pac -- Awards''. AllMusic. Rovi Corporation.""]",2.0,"","['a38e3ec379fea7e5e4ad9a620be112c5-3']","[{'start': 0, 'end': 0}]","[{'start': 181, 'end': 202}]","[{'start': 0, 'end': 0}]","[{'start': 181, 'end': 202}]","[0]","[0]","[0.0]","[0.0]","answer","Reader","integrated",1
"4ee6cf26bb5f64d04b9b9bf6606d4ff9","who was the girl in the video brenda got a baby","","[""Ethel ``Edy'' Proctor""]","her cousin","a newspaper article about a 12-year-old girl who became pregnant from her cousin and threw the baby into a trash compactor. Contents (hide) 1 Lyrics 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[""video(edit) The video of the song is in black-and-white. It was made to visualize what Shakur narrates. The first part shows Shakur and ``Brenda'' and then the actual story starts. Ethel ``Edy'' Proctor portrays Brenda. The video begins with ``based on a true story,'' although the characters themselves are fictitious, Shakur wrote the song after reading a story in the newspaper of a 12-year-old girl getting pregnant by her cousin and trying to dispose of the baby in a trash can. Parts of the video were included in Tupac: Resurrection, a 2003 documentary on 2Pac's life, in a television show later in the music video of Ghetto Gospel, in the music video of Changes and appears as a bonus in its entirety on the film's DVD. Part of the video and song was played in 2Pac's biopic film, ``All Eyez On Me,'' released June 16th 2017. The video was directed by the Hughes Brothers. Charts(edit) Chart (1991) Peak position US Rap Singles (Billboard) US R&B/Hip-Hop Songs (Billboard) 23 References(edit) Jump up ^ Hedges, Chris (March 29, 1991). ``A Child-Mother in the Jaws of New York''. NYTimes.com. Retrieved July 23, 2016. ^ Jump up to: ``2Pac -- Awards''. AllMusic. Rovi Corporation.""]",3.0,"['4901594d2eed9d96c0ab0902829ff7fd-1']","['a38e3ec379fea7e5e4ad9a620be112c5-3']","[{'start': 404, 'end': 414}]","[{'start': 181, 'end': 202}]","[{'start': 70, 'end': 80}]","[{'start': 181, 'end': 202}]","[0]","[0]","[0.0]","[66.66666666666667]","answer","Reader","integrated",2
"4ee6cf26bb5f64d04b9b9bf6606d4ff9","who was the girl in the video brenda got a baby","","[""Ethel ``Edy'' Proctor""]","Dave Hollister","is debut album, 2Pacalypse Now. The song, which features R&B singer Dave Hollister, is about a 12-year-old girl named Brenda who lives in a ghetto and",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[""video(edit) The video of the song is in black-and-white. It was made to visualize what Shakur narrates. The first part shows Shakur and ``Brenda'' and then the actual story starts. Ethel ``Edy'' Proctor portrays Brenda. The video begins with ``based on a true story,'' although the characters themselves are fictitious, Shakur wrote the song after reading a story in the newspaper of a 12-year-old girl getting pregnant by her cousin and trying to dispose of the baby in a trash can. Parts of the video were included in Tupac: Resurrection, a 2003 documentary on 2Pac's life, in a television show later in the music video of Ghetto Gospel, in the music video of Changes and appears as a bonus in its entirety on the film's DVD. Part of the video and song was played in 2Pac's biopic film, ``All Eyez On Me,'' released June 16th 2017. The video was directed by the Hughes Brothers. Charts(edit) Chart (1991) Peak position US Rap Singles (Billboard) US R&B/Hip-Hop Songs (Billboard) 23 References(edit) Jump up ^ Hedges, Chris (March 29, 1991). ``A Child-Mother in the Jaws of New York''. NYTimes.com. Retrieved July 23, 2016. ^ Jump up to: ``2Pac -- Awards''. AllMusic. Rovi Corporation.""]",4.0,"['cdf5968ebecb70e11c4812fad547e929-0']","['a38e3ec379fea7e5e4ad9a620be112c5-3']","[{'start': 1089, 'end': 1103}]","[{'start': 181, 'end': 202}]","[{'start': 68, 'end': 82}]","[{'start': 181, 'end': 202}]","[0]","[0]","[0.0]","[52.0]","answer","Reader","integrated",3
"f4694984c31f2fd3dfc5ec5f43dbb575","what was the actual year that the movie regarding the titans took place","","['1971']","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[""Remember the Titans - Wikipedia Remember the Titans Jump to: navigation, search Remember the Titans Theatrical release poster Directed by Boaz Yakin Produced by Jerry Bruckheimer Chad Oman Written by Gregory Allen Howard Starring Denzel Washington Will Patton Donald Faison Nicole Ari Parker Music by Trevor Rabin Cinematography Philippe Rousselot Edited by Michael Tronick Production company Walt Disney Pictures Jerry Bruckheimer Films Technical Black Films Distributed by Buena Vista Pictures Release date September 29, 2000 (2000-09-29) Running time 113 minutes Country United States Language English Budget $30 million Box office $136.7 million Remember the Titans is a 2000 American sports film produced by Jerry Bruckheimer and directed by Boaz Yakin. The screenplay, written by Gregory Allen Howard, is based on the true story of African-American coach Herman Boone, portrayed by Denzel Washington, and his attempt to integrate the T.C. Williams High School football team in Alexandria, Virginia, in 1971. Will Patton portrays Bill Yoast, Boone's assistant coach. Real-life athletes Gerry Bertier and Julius Campbell are portrayed by Ryan Hurst and Wood Harris, respectively. The film was co-produced by Walt Disney Pictures and Jerry Bruckheimer Films and released by Buena Vista Pictures. On September 29, 2000, the film's soundtrack was released""]",1.0,"","['f17b61c077165fd11382dc18ddeea866-0']","[{'start': 0, 'end': 0}]","[{'start': 1008, 'end': 1012}]","[{'start': 0, 'end': 0}]","[{'start': 1008, 'end': 1012}]","[0]","[0]","[0.0]","[0.0]","answer","Reader","integrated",0
"f4694984c31f2fd3dfc5ec5f43dbb575","what was the actual year that the movie regarding the titans took place","","['1971']","1971"," with Gerry never happened. The climax of the movie is the fictionalized 1971 AAA state championship football game between T.C. Williams and George C.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"[""Remember the Titans - Wikipedia Remember the Titans Jump to: navigation, search Remember the Titans Theatrical release poster Directed by Boaz Yakin Produced by Jerry Bruckheimer Chad Oman Written by Gregory Allen Howard Starring Denzel Washington Will Patton Donald Faison Nicole Ari Parker Music by Trevor Rabin Cinematography Philippe Rousselot Edited by Michael Tronick Production company Walt Disney Pictures Jerry Bruckheimer Films Technical Black Films Distributed by Buena Vista Pictures Release date September 29, 2000 (2000-09-29) Running time 113 minutes Country United States Language English Budget $30 million Box office $136.7 million Remember the Titans is a 2000 American sports film produced by Jerry Bruckheimer and directed by Boaz Yakin. The screenplay, written by Gregory Allen Howard, is based on the true story of African-American coach Herman Boone, portrayed by Denzel Washington, and his attempt to integrate the T.C. Williams High School football team in Alexandria, Virginia, in 1971. Will Patton portrays Bill Yoast, Boone's assistant coach. Real-life athletes Gerry Bertier and Julius Campbell are portrayed by Ryan Hurst and Wood Harris, respectively. The film was co-produced by Walt Disney Pictures and Jerry Bruckheimer Films and released by Buena Vista Pictures. On September 29, 2000, the film's soundtrack was released""]",2.0,"['ae74856b33e6811b1a548deb9858386a-6']","['f17b61c077165fd11382dc18ddeea866-0']","[{'start': 812, 'end': 816}]","[{'start': 1008, 'end': 1012}]","[{'start': 73, 'end': 77}]","[{'start': 1008, 'end': 1012}]","[1]","[1.0]","[0.0]","[45.63758389261745]","answer","Reader","integrated",1
